Ano,Vencedor,Perdedor,Fase,Campeonato
1999,Corinthians,Atlético,Final,Campeonato Brasileiro
2000,Palmeiras,Cruzeiro,Quartas de final,Copa dos Campeões
2000,Palmeiras,Cruzeiro,Quartas de final,Mercosul
2000,Palmeiras,Corinthians,Semifinal,Libertadores
2000,São Paulo,Palmeiras,Quartas de final,Copa do Brasil
2000,Palmeiras,São Paulo,Oitavas de final,Campeonato Brasileiro
2000,Palmeiras,Vasco,Final,Rio-São Paulo
2000,Vasco,Palmeiras,Final,Mercosul
2000,Palmeiras,Flamengo,Semifinal,Copa dos Campeões
2000,Santos,Flamengo,Quartas de final,Copa do Brasil
2000,Cruzeiro,Santos,Semifinal,Copa do Brasil
2000,Cruzeiro,Internacional,Quartas de final,Campeonato Brasileiro
2000,Corinthians,Vasco,Final,Mundial de Clubes
2000,Vasco,São Paulo,Semifinal,Rio-São Paulo
2000,Vasco,Cruzeiro,Semifinal,Campeonato Brasileiro
2000,Cruzeiro,São Paulo,Final,Copa do Brasil
2000,Cruzeiro,Botafogo,Quartas de final,Copa do Brasil
2000,São Paulo,Atlético,Semifinal,Copa do Brasil
2000,Atlético,Fluminense,Quartas de final,Copa do Brasil
2000,Palmeiras,Atlético,Semifinal,Mercosul
2000,Palmeiras,Botafogo,Semifinal,Rio-São Paulo
2000,Botafogo,Internacional,Terceira fase,Copa do Brasil
2000,Fluminense,Vasco,Oitavas de final,Copa do Brasil
2000,Botafogo,Corinthians,Oitavas de final,Copa do Brasil
2000,Corinthians,Atlético,Quartas de final,Libertadores
2001,Palmeiras,Cruzeiro,Quartas de final,Libertadores
2001,Grêmio,São Paulo,Quartas de final,Copa do Brasil
2001,Flamengo,Grêmio,Semifinal,Mercosul
2001,Grêmio,Corinthians,Final,Copa do Brasil
2001,Flamengo,Cruzeiro,Semifinal,Copa dos Campeões
2001,Flamengo,São Paulo,Final,Copa dos Campeões
2001,Cruzeiro,Atlético,Semifinal,Sul-Minas
2001,Atlético,Grêmio,Quartas de final,Campeonato Brasileiro
2001,São Paulo,Fluminense,Semifinal,Rio-São Paulo
2001,São Paulo,Botafogo,Final,Rio-São Paulo
2001,Grêmio,Fluminense,Oitavas de final,Copa do Brasil
2001,Botafogo,Santos,Semifinal,Rio-São Paulo
2002,São Paulo,Palmeiras,Semifinal,Rio-São Paulo
2002,Santos,São Paulo,Quartas de final,Campeonato Brasileiro
2002,Santos,Grêmio,Semifinal,Campeonato Brasileiro
2002,Santos,Corinthians,Final,Campeonato Brasileiro
2002,Internacional,Santos,Segunda fase,Copa do Brasil
2002,Corinthians,São Paulo,Semifinal,Copa do Brasil
2002,Corinthians,São Paulo,Final,Rio-São Paulo
2002,Corinthians,Cruzeiro,Oitavas de final,Copa do Brasil
2002,São Paulo,Vasco,Quartas de final,Copa do Brasil
2002,Cruzeiro,Flamengo,Semifinal,Copa dos Campeões
2002,Cruzeiro,Atlético,Semifinal,Sul-Minas
2002,Palmeiras,Fluminense,Quartas de final,Copa dos Campeões
2002,Atlético,Internacional,Oitavas de final,Copa do Brasil
2002,Corinthians,Fluminense,Semifinal,Campeonato Brasileiro
2002,Corinthians,Atlético,Quartas de final,Campeonato Brasileiro
2003,Cruzeiro,Vasco,Quartas de final,Copa do Brasil
2003,Cruzeiro,Flamengo,Final,Copa do Brasil
2003,São Paulo,Fluminense,Oitavas de final,Sul-Americana
2004,Santos,São Paulo,Oitavas de final,Sul-Americana
2004,Santos,Flamengo,Segunda fase,Sul-Americana
2004,Internacional,Cruzeiro,Oitavas de final,Sul-Americana
2004,Internacional,Grêmio,Segunda fase,Sul-Americana
2004,Flamengo,Grêmio,Quartas de final,Copa do Brasil
2004,Grêmio,Fluminense,Oitavas de final,Copa do Brasil
2005,São Paulo,Palmeiras,Oitavas de final,Libertadores
2005,Internacional,São Paulo,Primeira fase,Sul-Americana
2005,Fluminense,Grêmio,Oitavas de final,Copa do Brasil
2005,Fluminense,Santos,Primeira fase,Sul-Americana
2006,São Paulo,Palmeiras,Oitavas de final,Libertadores
2006,Santos,Cruzeiro,Segunda fase,Sul-Americana
2006,Internacional,São Paulo,Final,Libertadores
2006,Corinthians,Vasco,Segunda fase,Sul-Americana
2006,Flamengo,Vasco,Final,Copa do Brasil
2006,Fluminense,Cruzeiro,Quartas de final,Copa do Brasil
2006,Flamengo,Atlético,Quartas de final,Copa do Brasil
2006,Vasco,Fluminense,Semifinal,Copa do Brasil
2006,Fluminense,Botafogo,Segunda fase,Sul-Americana
2007,Grêmio,Santos,Semifinal,Libertadores
2007,Grêmio,São Paulo,Oitavas de final,Libertadores
2007,Botafogo,Atlético,Quartas de final,Copa do Brasil
2007,Botafogo,Corinthians,Primeira fase,Sul-Americana
2008,Palmeiras,Vasco,Segunda fase,Sul-Americana
2008,Internacional,Grêmio,Segunda fase,Sul-Americana
2008,Fluminense,São Paulo,Quartas de final,Libertadores
2008,Botafogo,Atlético,Quartas de final,Copa do Brasil
2008,Botafogo,Atlético,Segunda fase,Sul-Americana
2008,Corinthians,Botafogo,Semifinal,Copa do Brasil
2009,Corinthians,Internacional,Final,Copa do Brasil
2009,Internacional,Flamengo,Quartas de final,Copa do Brasil
2009,Corinthians,Vasco,Semifinal,Copa do Brasil
