id,time_mandante,gols_mandante,gols_visitante,time_visitante,rodada,campeonato,data,pontos_mandante,pontos_visitante,detalhes
60,Goiás,2,4,Vasco da Gama,5,2002,Aug 25,0,3," [Géder 6'og, Finazzi 79'; Souza 15', Rodrigo Souto 34', Washington Silva 63', Cadu 73']"
61,Guarani,1,1,Internacional,6,2002,Aug 28,1,1, [Sangaletti 90+2'; Fernando Baiano 90+2'p]
62,Juventude,2,0,Fluminense,6,2002,Aug 28,3,0," [Cláudio Pitbull 39', 85']"
63,Santos,2,1,Paraná,6,2002,Aug 28,3,0," [Léo 63', Diego Ribas 77'p; Maurílio 46']"
64,Gama,2,1,Flamengo,6,2002,Aug 28,3,0," [Rafael 26', Paulo Nunes 72'; Zé Carlos 66']"
65,Atlético-PR,1,0,Palmeiras,6,2002,Aug 28,3,0, [Kléber 34']
66,Corinthians,1,1,Cruzeiro,6,2002,Aug 28,1,1, [Rogério Régis 24'; Fábio Júnior 15']
67,Bahia,1,2,Figueirense,6,2002,Aug 28,0,3," [Robgol 84'p; William 60', Pires 67']"
68,São Paulo,2,0,Goiás,6,2002,Aug 29,3,0," [Luís Fabiano 47', 89']"
69,Grêmio,0,0,Portuguesa,6,2002,Aug 29,1,1,NA
70,Atlético-MG,2,1,Vitória,6,2002,Aug 29,3,0," [Renaldo 12', Marques 53'; Fernando 45']"
71,Coritiba,2,0,Fluminense,7,2002,Aug 31,3,0," [Da Silva 16', Jabá 85']"
72,Botafogo,1,0,Gama,7,2002,Aug 31,3,0, [Galeano 77']
73,Corinthians,0,3,Atlético-PR,7,2002,Aug 31,0,3," [Kléber 23', Fabiano 30', Kléberson 83']"
74,Internacional,3,0,Santos,7,2002,Aug 31,3,0," [Fernando Baiano 13'p, Mahicon Librelatto 60', Carlos Miguel 90']"
75,Flamengo,1,1,Cruzeiro,7,2002,Sep 1,1,1, [Iranildo 32'; Fábio Júnior 16']
76,São Paulo,2,0,Grêmio,7,2002,Sep 1,3,0," [Fábio Simplício 31', Kaká 33']"
77,Atlético-MG,0,0,Portuguesa,7,2002,Sep 1,1,1,NA
78,Paraná,5,1,Palmeiras,7,2002,Sep 1,3,0," [Márcio 6'p, 34', 55', 66', Fabinho 90+1'; Dodô 1']"
79,Vitória,5,1,Paysandu,7,2002,Sep 1,3,0," [Samir 21', André 32', 56', 74', 84'; Jóbson 34'p]"
80,Ponte Preta,0,1,São Caetano,7,2002,Sep 1,0,3, [Marlon 63']
81,Juventude,1,0,Vasco da Gama,7,2002,Sep 1,3,0, [Marcelo Pereira 53'p]
82,Goiás,1,2,Guarani,7,2002,Sep 1,0,3," [Zé Carlos 46'; Bruno Quadros 10', Sérgio Alves 77']"
83,Vasco da Gama,1,2,Atlético-MG,8,2002,Sep 4,0,3," [Cadu 21'; Mancini 22', Kim 64']"
84,Flamengo,5,2,Fluminense,8,2002,Sep 4,3,0," [Athirson 12', Zé Carlos 18', Liédson 58', Iranildo 68', Fábio Baiano 78'; César 1', Roni 90+1']"
85,Palmeiras,2,2,Coritiba,8,2002,Sep 4,1,1," [Fabiano Eller 25', Darío Muñoz 68'; Lima 39', Da Silva 45']"
86,Cruzeiro,3,1,São Paulo,8,2002,Sep 4,3,0," [Marcelo Ramos 24', Luisão 48', Fábio Júnior 85'; Luís Fabiano 72']"
87,Atlético-PR,2,0,Botafogo,8,2002,Sep 4,3,0," [Alex Mineiro 62', Dagoberto 67']"
88,Paysandu,0,1,Corinthians,8,2002,Sep 4,0,3, [Fábio Luciano 11']
89,Bahia,3,2,Paraná,8,2002,Sep 4,3,0," [Nonato 50', Gil Baiano 55', Daniel 74'; Maurílio 58', Márcio 83']"
90,Gama,0,0,Ponte Preta,8,2002,Sep 4,1,1,NA
91,São Caetano,2,1,Guarani,8,2002,Sep 4,3,0," [Adãozinho 44', Somália 56'; Émerson Ávila 69']"
92,Portuguesa,0,2,Internacional,8,2002,Sep 5,0,3," [Mahicon Librelato 59', Fernando Baiano 90+1']"
93,Santos,3,0,Vitória,8,2002,Sep 5,3,0," [Alberto 8', 11', Robinho 42']"
94,Vasco da Gama,1,0,Coritiba,9,2002,Sep 7,3,0, [Dejan Petkovic 90+1']
95,Palmeiras,2,2,Gama,9,2002,Sep 7,1,1," [Zinho 5', Dodô 21'; Dimba 41', 85']"
96,São Caetano,3,0,São Paulo,9,2002,Sep 7,3,0," [Magrão 37', Marco Aurélio 54', Claudecir 90+3']"
97,Atlético-MG,2,0,Ponte Preta,9,2002,Sep 7,3,0," [Hélcio 21', Neguete 37']"
98,Goiás,2,2,Botafogo,9,2002,Sep 7,1,1," [Evair 22'p, 24'; Romeu 15', Ademílson 90+1']"
99,Fluminense,4,3,Figueirense,9,2002,Sep 8,3,0," [Magno Alves 2', 43', Yan 75', Romário 88'; Selmir 50', 79', Mendes 85']"
100,Santos,2,2,Atlético-PR,9,2002,Sep 8,1,1," [William 52', Alberto 70'; Canindé 6'og, Kléberson 69'p]"
101,Grêmio,4,0,Corinthians,9,2002,Sep 8,3,0," [Rodrigo Fabri 16', 22', 47', Rodrigo Mendes 69']"
102,Paraná,3,0,Flamengo,9,2002,Sep 8,3,0," [Márcio 40', Fabinho 66', Alexandre 77']"
103,Vitória,0,0,Internacional,9,2002,Sep 8,1,1,NA
104,Juventude,2,1,Bahia,9,2002,Sep 8,3,0," [Leonardo Manzi 14', 49'; Nonato 1']"
105,Guarani,2,0,Paysandu,9,2002,Sep 8,3,0," [Brenner 10', Marquinhos 65']"
106,Flamengo,3,2,Atlético-PR,10,2002,Sep 11,3,0," [Liédson 28', 39', Iranildo 69'p; Kléberson 10', Kléber 54']"
107,Portuguesa,3,2,São Caetano,10,2002,Sep 11,3,0," [Édson Araújo 15', 42', Alexandre Gaúcho 39'; Adhemar 52', 76']"
108,Internacional,3,2,Palmeiras,10,2002,Sep 11,3,0," [Luiz Alberto 22', Fernando Baiano 11', Cris 85'; Nenê 72', César 81']"
109,Coritiba,4,2,Santos,10,2002,Sep 11,3,0," [Lúcio Flávio 38'p, Edinho Baiano 40', Reginaldo Araújo 41', Da Silva 65'; Diego Ribas 24', 30']"
110,Bahia,1,1,Grêmio,10,2002,Sep 11,1,1, [Robgol 1'; Gilberto 66']
111,Ponte Preta,1,0,Paraná,10,2002,Sep 11,3,0, [Macedo 6']
112,Figueirense,0,2,Vitória,10,2002,Sep 11,0,3," [André 23', Samir 86']"
113,Paysandu,2,0,Vasco da Gama,10,2002,Sep 11,3,0," [Albertinho 41', Marcos Dobrada 61']"
114,Botafogo,0,4,Juventude,10,2002,Sep 12,0,3," [Marcelo Pereira 20', Leonardo Manzi 46', Michel 57', 63']"
