time_mandante,gols_mandante,gols_visitante,time_visitante,rodada,data,pontos_mandante,pontos_visitante,match_id,detalhes
Ponte Preta,1,1,Grêmio,5,Aug 25,1,1,59, [Valdir Lucas 66'; Rodrigo Fabri 31']
Goiás,2,4,Vasco da Gama,5,Aug 25,0,3,60," [Géder 6'og, Finazzi 79'; Souza 15', Rodrigo Souto 34', Washington Silva 63', Cadu 73']"
Guarani,1,1,Internacional,6,Aug 28,1,1,61, [Sangaletti 90+2'; Fernando Baiano 90+2'p]
Juventude,2,0,Fluminense,6,Aug 28,3,0,62," [Cláudio Pitbull 39', 85']"
Santos,2,1,Paraná,6,Aug 28,3,0,63," [Léo 63', Diego Ribas 77'p; Maurílio 46']"
Gama,2,1,Flamengo,6,Aug 28,3,0,64," [Rafael 26', Paulo Nunes 72'; Zé Carlos 66']"
Atlético-PR,1,0,Palmeiras,6,Aug 28,3,0,65, [Kléber 34']
Corinthians,1,1,Cruzeiro,6,Aug 28,1,1,66, [Rogério Régis 24'; Fábio Júnior 15']
Bahia,1,2,Figueirense,6,Aug 28,0,3,67," [Robgol 84'p; William 60', Pires 67']"
São Paulo,2,0,Goiás,6,Aug 29,3,0,68," [Luís Fabiano 47', 89']"
Grêmio,0,0,Portuguesa,6,Aug 29,1,1,69,NA
Atlético-MG,2,1,Vitória,6,Aug 29,3,0,70," [Renaldo 12', Marques 53'; Fernando 45']"
Coritiba,2,0,Fluminense,7,Aug 31,3,0,71," [Da Silva 16', Jabá 85']"
Botafogo,1,0,Gama,7,Aug 31,3,0,72, [Galeano 77']
Corinthians,0,3,Atlético-PR,7,Aug 31,0,3,73," [Kléber 23', Fabiano 30', Kléberson 83']"
Internacional,3,0,Santos,7,Aug 31,3,0,74," [Fernando Baiano 13'p, Mahicon Librelatto 60', Carlos Miguel 90']"
Flamengo,1,1,Cruzeiro,7,Sep 1,1,1,75, [Iranildo 32'; Fábio Júnior 16']
São Paulo,2,0,Grêmio,7,Sep 1,3,0,76," [Fábio Simplício 31', Kaká 33']"
Atlético-MG,0,0,Portuguesa,7,Sep 1,1,1,77,NA
Paraná,5,1,Palmeiras,7,Sep 1,3,0,78," [Márcio 6'p, 34', 55', 66', Fabinho 90+1'; Dodô 1']"
Vitória,5,1,Paysandu,7,Sep 1,3,0,79," [Samir 21', André 32', 56', 74', 84'; Jóbson 34'p]"
Ponte Preta,0,1,São Caetano,7,Sep 1,0,3,80, [Marlon 63']
Juventude,1,0,Vasco da Gama,7,Sep 1,3,0,81, [Marcelo Pereira 53'p]
Goiás,1,2,Guarani,7,Sep 1,0,3,82," [Zé Carlos 46'; Bruno Quadros 10', Sérgio Alves 77']"
Vasco da Gama,1,2,Atlético-MG,8,Sep 4,0,3,83," [Cadu 21'; Mancini 22', Kim 64']"
Flamengo,5,2,Fluminense,8,Sep 4,3,0,84," [Athirson 12', Zé Carlos 18', Liédson 58', Iranildo 68', Fábio Baiano 78'; César 1', Roni 90+1']"
Palmeiras,2,2,Coritiba,8,Sep 4,1,1,85," [Fabiano Eller 25', Darío Muñoz 68'; Lima 39', Da Silva 45']"
Cruzeiro,3,1,São Paulo,8,Sep 4,3,0,86," [Marcelo Ramos 24', Luisão 48', Fábio Júnior 85'; Luís Fabiano 72']"
Atlético-PR,2,0,Botafogo,8,Sep 4,3,0,87," [Alex Mineiro 62', Dagoberto 67']"
Paysandu,0,1,Corinthians,8,Sep 4,0,3,88, [Fábio Luciano 11']
Bahia,3,2,Paraná,8,Sep 4,3,0,89," [Nonato 50', Gil Baiano 55', Daniel 74'; Maurílio 58', Márcio 83']"
Gama,0,0,Ponte Preta,8,Sep 4,1,1,90,NA
São Caetano,2,1,Guarani,8,Sep 4,3,0,91," [Adãozinho 44', Somália 56'; Émerson Ávila 69']"
Portuguesa,0,2,Internacional,8,Sep 5,0,3,92," [Mahicon Librelato 59', Fernando Baiano 90+1']"
Santos,3,0,Vitória,8,Sep 5,3,0,93," [Alberto 8', 11', Robinho 42']"
Vasco da Gama,1,0,Coritiba,9,Sep 7,3,0,94, [Dejan Petkovic 90+1']
Palmeiras,2,2,Gama,9,Sep 7,1,1,95," [Zinho 5', Dodô 21'; Dimba 41', 85']"
São Caetano,3,0,São Paulo,9,Sep 7,3,0,96," [Magrão 37', Marco Aurélio 54', Claudecir 90+3']"
Atlético-MG,2,0,Ponte Preta,9,Sep 7,3,0,97," [Hélcio 21', Neguete 37']"
Goiás,2,2,Botafogo,9,Sep 7,1,1,98," [Evair 22'p, 24'; Romeu 15', Ademílson 90+1']"
Fluminense,4,3,Figueirense,9,Sep 8,3,0,99," [Magno Alves 2', 43', Yan 75', Romário 88'; Selmir 50', 79', Mendes 85']"
Santos,2,2,Atlético-PR,9,Sep 8,1,1,100," [William 52', Alberto 70'; Canindé 6'og, Kléberson 69'p]"
Grêmio,4,0,Corinthians,9,Sep 8,3,0,101," [Rodrigo Fabri 16', 22', 47', Rodrigo Mendes 69']"
Paraná,3,0,Flamengo,9,Sep 8,3,0,102," [Márcio 40', Fabinho 66', Alexandre 77']"
Vitória,0,0,Internacional,9,Sep 8,1,1,103,NA
Juventude,2,1,Bahia,9,Sep 8,3,0,104," [Leonardo Manzi 14', 49'; Nonato 1']"
Guarani,2,0,Paysandu,9,Sep 8,3,0,105," [Brenner 10', Marquinhos 65']"
Flamengo,3,2,Atlético-PR,10,Sep 11,3,0,106," [Liédson 28', 39', Iranildo 69'p; Kléberson 10', Kléber 54']"
