time_mandante,gols_mandante,gols_visitante,time_visitante,rodada,data,pontos_mandante,pontos_visitante,match_id,detalhes
Figueirense,2,1,Flamengo,22,Oct 23,3,0,244," [Lino 59'p, Thiago Gentil 82'; Felipe Mello 46']"
Fluminense,2,2,Goiás,22,Oct 23,1,1,245," [Romário 26', 72'; Araújo 43', Danilo 89']"
Paraná,2,1,Gama,22,Oct 23,3,0,246," [Maurílio 31'p, 58'; Jackson 17']"
Paysandu,2,1,Santos,22,Oct 23,3,0,247," [Zé Augusto 11', Vandick 86'; Elano 13']"
Ponte Preta,1,1,Vitória,22,Oct 23,1,1,248, [Hernâni 80'; Allann Delon 12']
Bahia,4,2,Vasco da Gama,22,Oct 23,3,0,249," [Nonato 30', Jair 33', Calisto 58', Robgol 62'; Ramón Menezes 61', 69']"
Botafogo,2,3,Fluminense,23,Oct 26,0,3,250," [Galeano 32'p, Leonardo Inácio 62'; César 39', Magno Alves 70', Romário 81'p]"
Portuguesa,1,3,São Paulo,23,Oct 26,0,3,251," [Rogério Ceni 30', Luís Fabiano 63', 73'; Luiz Henrique 42']"
Internacional,0,1,Grêmio,23,Oct 26,0,3,252, [Rodrigo Mendes 80']
Santos,3,0,Flamengo,23,Oct 26,3,0,253," [William 26', Robert 32', Robinho 40']"
Atlético-PR,1,0,Coritiba,23,Oct 26,3,0,254, [Kléber 13']
Gama,0,1,Goiás,23,Oct 26,0,3,255, [Tiago 8']
Juventude,3,2,Figueirense,23,Oct 26,3,0,256," [Leonardo Manzi 52', 79', Gaúcho 90+2'; Selmir 6', Igor 50']"
Guarani,2,4,Ponte Preta,23,Oct 28,0,3,257," [Sérgio Alves 15', João Paulo 36'; Marinho 39', Valdir Lucas 40', Basílio 75', Elivélton 89'p]"
Flamengo,0,1,Corinthians,24,Oct 30,0,3,258, [Guilherme 19']
Palmeiras,2,1,Botafogo,24,Oct 30,3,0,259," [Darío Muñoz 3', Nenê 4'; Carlos Alberto 19']"
Atlético-MG,3,2,Internacional,24,Oct 30,3,0,260," [Marques 33', 74'p, Kim 69'; Fabiano Costa 20', Cássio 90+1']"
Grêmio,2,1,Atlético-PR,24,Oct 30,3,0,261," [Douglas Silva 27'og, Rodrigo Mendes 56'; Fabiano 64']"
Coritiba,3,1,Cruzeiro,24,Oct 30,3,0,262," [Alexandre Fávaro 21', Lima 86', Reginaldo Araújo 90+3'; Fábio Júnior 7']"
Paysandu,1,2,Goiás,24,Oct 30,0,3,263," [Souza 52'; Araújo 48', 77']"
Bahia,1,1,Santos,24,Oct 30,1,1,264, [Robgol 56'p; Léo 90+2']
Figueirense,1,2,São Caetano,24,Oct 30,0,3,265," [Selmir 14'; Claudecir 24', Robert 42']"
Fluminense,2,1,Vasco da Gama,24,Oct 31,3,0,266," [César 66', Beto 84'; Valdir Bigode 71']"
São Paulo,5,2,Ponte Preta,24,Oct 31,3,0,267," [Ameli 11', Luís Fabiano 18', 35'p, Reinaldo Oliveira 43', Kaká 88'p; Caíco 6', Alex Oliveira 81'p]"
Paraná,3,1,Juventude,24,Oct 31,3,0,268," [Maurílio 62'p, 85', Márcio 78'; Michel 20']"
Flamengo,2,0,Botafogo,25,Nov 2,3,0,269," [Zé Carlos 21', Iranildo 67']"
Guarani,0,2,Santos,25,Nov 2,0,3,270," [Diego Ribas 31', Robinho 43']"
Internacional,0,1,Coritiba,25,Nov 2,0,3,271, [Lima 89']
Vasco da Gama,1,0,Palmeiras,25,Nov 3,3,0,272, [Léo Lima 64']
Corinthians,0,2,Fluminense,25,Nov 3,0,3,273," [Andrei 29', Roni 41']"
Cruzeiro,3,2,Grêmio,25,Nov 3,3,0,274," [Alex 3', Fábio Júnior 38', 57'p; Rodrigo Fabri 15', 88']"
Ponte Preta,0,0,Portuguesa,25,Nov 3,1,1,275,NA
Atlético-PR,2,2,Atlético-MG,25,Nov 3,1,1,276," [David 5', Dagoberto 28'; Hélcio 65', Alexandre 84']"
Paysandu,2,1,Figueirense,25,Nov 3,3,0,277," [Vandick 73', Wélber 82'; Lino 6'p]"
Goiás,4,0,Paraná,25,Nov 3,3,0,278," [Neném 13', Evair 39'p, 83', Bismarck 81']"
São Caetano,2,1,Juventude,25,Nov 3,3,0,279," [Adhemar 21', Magrão 71'; Valdo 85']"
Vitória,1,0,Bahia,25,Nov 3,3,0,280, [Fernando 38'p]
Fluminense,0,3,Palmeiras,26,Nov 6,0,3,281," [Zinho 22', Flávio Luís 58', Juninho 85']"
São Paulo,5,3,Vasco da Gama,26,Nov 6,3,0,282," [Luís Fabiano 45+1'p, 69', 73', Jean Narde 62', Júlio Santos 75'; Ramón Menezes 36', 39', Zé Carlos 68']"
Atlético-PR,2,1,Paysandu,26,Nov 6,3,0,283," [Douglas Silva 31', Adriano Vieira 35'; Vandick 71']"
Vitória,3,1,Guarani,26,Nov 6,3,0,284," [Alexsandro 75', 90+1', Fernando 85'; Júnior 49']"
Figueirense,0,2,Grêmio,26,Nov 6,0,3,285," [Rodrigo Mendes 31, Rodrigo Fabri 80']"
Gama,2,3,Cruzeiro,26,Nov 6,0,3,286," [Romualdo 12', Anderson 16'; Fábio Júnior 57', Leandro Wanderley 74', Cris 82']"
São Caetano,1,1,Internacional,26,Nov 6,1,1,287, [Luís Carlos Capixaba 45'; Fernando Baiano 83']
Atlético-MG,3,1,Coritiba,26,Nov 7,3,0,288," [Kim 13', Marques 40'p, 90'; Da Silva 25']"
Paraná,2,0,Botafogo,26,Nov 7,3,0,289," [Fábio Luís 33', Márcio 72']"
Corinthians,5,2,Portuguesa,26,Nov 7,3,0,290," [Deivid 28', 75', Guilherme 35', 52', 78'; Éder 41', Alex Alves 57'p]"
Vasco da Gama,4,1,Vitória,27,Nov 9,3,0,291," [Russo 39', Ramón Menezes 48'p, Dejan Petkovic 67', Valdir Bigode 88'; Zé Roberto 37']"
Cruzeiro,4,1,Atlético-PR,27,Nov 9,3,0,292," [Igor 15'og, Fábio Júnior 25', Luisão 44', Marcelo Batatais 58'; Igor 24']"
Santos,1,3,Ponte Preta,27,Nov 9,0,3,293," [Robinho 49'p; Basílio 15', 29', Caíco 32']"
Grêmio,2,2,São Caetano,27,Nov 9,1,1,294," [Rodrigo Fabri 1', Gilberto 76'; Luís Carlos Capixaba 41', Marlon 83']"
Paysandu,3,2,Fluminense,27,Nov 9,3,0,295," [Souza 43'p, Rato 70', Marcos Dobrada 83'; Andrei 6', Fábio Bala 89']"
Botafogo,2,1,Corinthians,27,Nov 10,3,0,296," [Lúcio 10', Fábio 89'; Rogério Régis 19'p]"
Portuguesa,1,2,Flamengo,27,Nov 10,0,3,297," [Ricardo Oliveira 55'; Alessandro 41', Athirson 79'p]"
Coritiba,2,0,Paraná,27,Nov 10,3,0,298," [Tcheco 84', Jabá 89']"
Guarani,1,1,Bahia,27,Nov 10,1,1,299, [Sérgio Alves 58'p; Bebeto Campos 64']
Juventude,3,2,Internacional,27,Nov 10,3,0,300," [Marcelo Pereira 5', Cláudio Pitbull 36', Michel 58'; Fabiano Costa 33', Chris 70']"
Goiás,3,1,Atlético-MG,27,Nov 10,3,0,301," [Evair 24'p, 28'p, Araújo 60'; Mancini 17']"
Vasco da Gama,2,0,Ponte Preta,28,Nov 13,3,0,302," [Valdir Bigode 33', Ramón Menezes 79']"
Palmeiras,1,1,Flamengo,28,Nov 13,1,1,303, [Nenê 60'; Liédson 33']
Atlético-MG,6,4,Gama,28,Nov 13,3,0,304," [Renaldo 14', 52', 90+3'p, Mancini 43', Kim 79', Marques 82'; Anderson 50', Nen 57', Rodriguinho 74', Dimba 86'p]"
Internacional,0,1,Cruzeiro,28,Nov 13,0,3,305, [Luisão 24']
Coritiba,1,2,Figueirense,28,Nov 13,0,3,306," [Lúcio Flávio 16'; Thiago Gentil 1', 56']"
Bahia,0,0,Corinthians,28,Nov 13,1,1,307,NA
Juventude,0,0,Paysandu,28,Nov 13,1,1,308,NA
Fluminense,2,0,Portuguesa,28,Nov 14,3,0,309," [Romário 41'´p, 57'p]"
São Paulo,3,2,Vitória,28,Nov 14,3,0,310," [Kaká 25', Leandro Amaral 30', Reinaldo Oliveira 55'p; Zé Roberto 9', Leílton 14']"
Paraná,1,1,Grêmio,28,Nov 14,1,1,311, [William 82'; Ânderson Polga 43']
Guarani,2,0,Botafogo,28,Nov 14,3,0,312," [Marquinhos 7', Luís Fernando Martinez 51']"
Flamengo,2,2,Guarani,29,Nov 17,1,1,313," [Zé Carlos 7', Liédson 63'; Creedence 19', Sérgio Alves 23']"
Botafogo,0,1,São Paulo,29,Nov 17,0,3,314, [Dill 55']
Corinthians,1,1,Vasco da Gama,29,Nov 17,1,1,315, [Guilherme 65'; Ramón Menezes 86'p]
Portuguesa,2,4,Bahia,29,Nov 17,0,3,316," [Ricardo Oliveira 64', 85'; Nonato 36', 48', 74', Bebeto Campos 79']"
Cruzeiro,2,0,Goiás,29,Nov 17,3,0,317," [Marcelo Ramos 55', 82']"
Grêmio,1,0,Atlético-MG,29,Nov 17,3,0,318, [Anderson Lima 29']
Atlético-PR,4,0,Juventude,29,Nov 17,3,0,319," [Jadílson 65', 75', 85', Alex Mineiro 71']"
Paysandu,0,2,Internacional,29,Nov 17,0,3,320," [Mahicon Librelato 58', Fernando Baiano 61']"
Vitória,4,3,Palmeiras,29,Nov 17,3,0,321," [Allann Delon 3', Aristizábal 26'p, Zé Roberto 76', André 85'; Flávio Luís 4', Nenê 48', Javier Arce 88'p]"
Ponte Preta,2,3,Fluminense,29,Nov 17,0,3,322," [Caíco 52', Fabrício Carvalho 64'; Roni 68', 72', Romário 80']"
Figueirense,2,2,Paraná,29,Nov 17,1,1,323," [Lino 9', Thiago Gentil 32'; Maurílio 78', 83']"
Gama,4,0,Coritiba,29,Nov 17,3,0,324," [Dimba 45+2', 85', Dario Larrosa 80', Rodriguinho 83']"
São Caetano,3,2,Santos,29,Nov 17,3,0,325," [Claudecir 41', 63', Luís Carlos Capixaba 53'; Alex Rodrigo 58', Alberto 87'p]"
